academic_terms,original_string,new_string,domains,country
pontificia universidad católica del perú,pontificia universidad católica del perú,pontificia universidad católica del perú,pucp.edu.pe,Peru
universidad alas peruanas,universidad alas peruanas,universidad alas peruanas,uap.edu.pe,Peru
universidad andina del cusco,universidad andina del cusco,universidad andina del cusco,uandina.edu.pe,Peru
universidad andina nestor caceares velasquez,universidad andina nestor caceares velasquez,universidad andina nestor caceares velasquez,uancv.edu.pe,Peru
universidad católica de santa maría,universidad católica de santa maría,universidad católica de santa maría,ucsm.edu.pe,Peru
universidad católica santo toribio de mogrovejo,universidad católica santo toribio de mogrovejo,universidad católica santo toribio de mogrovejo,usat.edu.pe,Peru
universidad césar vallejo,universidad césar vallejo,universidad césar vallejo,ucv.edu.pe,Peru
universidad cientifica del sur,universidad cientifica del sur,universidad cientifica del sur,ucsur.edu.pe,Peru
universidad de ciencias y humanidades,universidad de ciencias y humanidades,universidad de ciencias y humanidades,uch.edu.pe,Peru
universidad de huánuco,universidad de huánuco,universidad de huánuco,udh.edu.pe,Peru
universidad de lambayeque,universidad de lambayeque,universidad de lambayeque,udl.edu.pe,Peru
universidad de lima,universidad de lima,universidad de lima,ulima.edu.pe,Peru
universidad de piura,universidad de piura,universidad de piura,udep.edu.pe,Peru
universidad del pacifico,universidad del pacifico,universidad del pacifico,up.edu.pe,Peru
universidad femenina del sagrado corazón,universidad femenina del sagrado corazón,universidad femenina del sagrado corazón,unife.edu.pe,Peru
universidad los angeles de chimbote,universidad los angeles de chimbote,universidad los angeles de chimbote,uladech.edu.pe,Peru
universidad marcelino champagnat,universidad marcelino champagnat,universidad marcelino champagnat,champagnat.edu.pe,Peru
universidad nacional agraria de la selva,universidad nacional agraria de la selva,universidad nacional agraria de la selva,unas.edu.pe,Peru
universidad nacional agraria la molina,universidad nacional agraria la molina,universidad nacional agraria la molina,lamolina.edu.pe,Peru
universidad nacional daniel alcides carrion,universidad nacional daniel alcides carrion,universidad nacional daniel alcides carrion,undac.edu.pe,Peru
universidad nacional de cajamarca,universidad nacional de cajamarca,universidad nacional de cajamarca,unc.edu.pe,Peru
universidad nacional de educación enrique guzmán y valle,universidad nacional de educación enrique guzmán y valle,universidad nacional de educación enrique guzmán y valle,une.edu.pe,Peru
universidad nacional de ingeniería,universidad nacional de ingeniería,universidad nacional de ingeniería,uni.edu.pe|uni.pe,Peru
universidad nacional de la amazonía peruana,universidad nacional de la amazonía peruana,universidad nacional de la amazonía peruana,unapiquitos.edu.pe,Peru
"universidad nacional de la libertad, trujillo","universidad nacional de la libertad, trujillo","universidad nacional de la libertad, trujillo",unitru.edu.pe,Peru
universidad nacional de piura,universidad nacional de piura,universidad nacional de piura,unp.edu.pe,Peru
universidad nacional de san agustin,universidad nacional de san agustin,universidad nacional de san agustin,unsa.edu.pe,Peru
universidad nacional de san antonio abad,universidad nacional de san antonio abad,universidad nacional de san antonio abad,unsaac.edu.pe,Peru
universidad nacional de san cristóbal de huamanga,universidad nacional de san cristóbal de huamanga,universidad nacional de san cristóbal de huamanga,unsch.edu.pe,Peru
universidad nacional de san martín,universidad nacional de san martín,universidad nacional de san martín,unsm.edu.pe,Peru
universidad nacional de santa - chimbote,universidad nacional de santa - chimbote,universidad nacional de santa - chimbote,uns.edu.pe,Peru
universidad nacional de tumbes,universidad nacional de tumbes,universidad nacional de tumbes,untumbes.edu.pe,Peru
universidad nacional de ucayali,universidad nacional de ucayali,universidad nacional de ucayali,unu.edu.pe,Peru
universidad nacional del altiplano,universidad nacional del altiplano,universidad nacional del altiplano,unap.edu.pe,Peru
universidad nacional del callao,universidad nacional del callao,universidad nacional del callao,unac.edu.pe,Peru
universidad nacional del centro del perú,universidad nacional del centro del perú,universidad nacional del centro del perú,uncp.edu.pe,Peru
universidad nacional federico villarreal,universidad nacional federico villarreal,universidad nacional federico villarreal,unfv.edu.pe,Peru
universidad nacional hermilio valdizan,universidad nacional hermilio valdizan,universidad nacional hermilio valdizan,unheval.edu.pe,Peru
universidad nacional jorge basadre grohmann,universidad nacional jorge basadre grohmann,universidad nacional jorge basadre grohmann,unjbg.edu.pe,Peru
universidad nacional josé faustino sánchez carrión,universidad nacional josé faustino sánchez carrión,universidad nacional josé faustino sánchez carrión,unjfsc.edu.pe,Peru
universidad nacional mayor de san marcos,universidad nacional mayor de san marcos,universidad nacional mayor de san marcos,unmsm.edu.pe,Peru
universidad nacional pedro ruíz gallo,universidad nacional pedro ruíz gallo,universidad nacional pedro ruíz gallo,unprg.edu.pe,Peru
universidad nacional san luis gonzaga,universidad nacional san luis gonzaga,universidad nacional san luis gonzaga,unica.edu.pe,Peru
universidad nacional santiago antúnez de mayolo,universidad nacional santiago antúnez de mayolo,universidad nacional santiago antúnez de mayolo,unasam.edu.pe,Peru
universidad norbert wiener,universidad norbert wiener,universidad norbert wiener,uwiener.edu.pe,Peru
universidad particular de chiclayo,universidad particular de chiclayo,universidad particular de chiclayo,udch.edu.pe,Peru
universidad particular inca garcilaso de la vega,universidad particular inca garcilaso de la vega,universidad particular inca garcilaso de la vega,uigv.edu.pe,Peru
universidad peruana cayetano heredia,universidad peruana cayetano heredia,universidad peruana cayetano heredia,upch.edu.pe,Peru
universidad peruana de ciencias aplicadas,universidad peruana de ciencias aplicadas,universidad peruana de ciencias aplicadas,upc.edu.pe,Peru
universidad peruana de ciencias e informática,universidad peruana de ciencias e informática,universidad peruana de ciencias e informática,upci.edu.pe,Peru
universidad peruana union,universidad peruana union,universidad peruana union,upeu.edu.pe,Peru
universidad privada antenor orrego,universidad privada antenor orrego,universidad privada antenor orrego,upao.edu.pe,Peru
universidad privada de tacna,universidad privada de tacna,universidad privada de tacna,upt.edu.pe,Peru
universidad privada del norte,universidad privada del norte,universidad privada del norte,upnorte.edu.pe,Peru
universidad privada juan mejía baca,universidad privada juan mejía baca,universidad privada juan mejía baca,umb.edu.pe,Peru
universidad privada los andes,universidad privada los andes,universidad privada los andes,upla.edu.pe,Peru
universidad privada san juan bautista,universidad privada san juan bautista,universidad privada san juan bautista,upsjb.edu.pe,Peru
universidad privada san pedro,universidad privada san pedro,universidad privada san pedro,usanpedro.edu.pe,Peru
universidad privada sergio bernales,universidad privada sergio bernales,universidad privada sergio bernales,upsb.edu.pe,Peru
universidad ricardo palma,universidad ricardo palma,universidad ricardo palma,urp.edu.pe,Peru
universidad san ignacio de loyola,universidad san ignacio de loyola,universidad san ignacio de loyola,sil.edu.pe,Peru
universidad san martin de porres,universidad san martin de porres,universidad san martin de porres,usmp.edu.pe,Peru
universidad san pablo,universidad san pablo,universidad san pablo,usp.edu.pe,Peru
universidad señor de sipán,universidad señor de sipán,universidad señor de sipán,uss.edu.pe,Peru
universidad tecnológica de los andes de apurímac,universidad tecnológica de los andes de apurímac,universidad tecnológica de los andes de apurímac,utea.edu.pe,Peru
universidad tecnológica del peru,universidad tecnológica del peru,universidad tecnológica del peru,utp.edu.pe,Peru
adamson university,adamson university,adamson university,adamson.edu.ph,Philippines
adventist university of the philippines,adventist university of the philippines,adventist university of the philippines,aup.edu.ph,Philippines
angeles university,angeles university,angeles university,auf.edu.ph,Philippines
aquinas university,aquinas university,aquinas university,aquinas-university.edu,Philippines
araullo university,araullo university,araullo university,aupen.edu.ph,Philippines
arellano university,arellano university,arellano university,arellano.edu.ph,Philippines
ateneo de davao university,ateneo de davao university,ateneo de davao university,addu.edu.ph,Philippines
ateneo de manila university,ateneo de manila university,ateneo de manila university,admu.edu.ph,Philippines
ateneo de naga university,ateneo de naga university,ateneo de naga university,adnu.edu.ph,Philippines
ateneo de zamboanga university,ateneo de zamboanga university,ateneo de zamboanga university,adzu.edu.ph,Philippines
benguet state university,benguet state university,benguet state university,bsu.edu.ph,Philippines
bicol university,bicol university,bicol university,bicol-u.edu.ph,Philippines
bulacan state university,bulacan state university,bulacan state university,bulsu.edu.ph,Philippines
cagayan state university,cagayan state university,cagayan state university,csu.edu.ph,Philippines
capitol university,capitol university,capitol university,cu-cdo.edu.ph,Philippines
central luzon state university,central luzon state university,central luzon state university,www2.mozcom.com,Philippines
central mindanao university,central mindanao university,central mindanao university,cmu.edu.ph,Philippines
central philippine university,central philippine university,central philippine university,cpuic.edu,Philippines
centro escolar university,centro escolar university,centro escolar university,ceu.edu.ph,Philippines
colegio de san juan de letran,colegio de san juan de letran,colegio de san juan de letran,letran.edu,Philippines
college of the holy spirit,college of the holy spirit,college of the holy spirit,holyspirit.edu.ph,Philippines
davao doctors college,davao doctors college,davao doctors college,davaodoctors.edu.ph,Philippines
de la salle university,de la salle university,de la salle university,dlsu.edu.ph,Philippines
"de la salle university, araneta","de la salle university, araneta","de la salle university, araneta",araneta.dlsu.edu.ph,Philippines
divine word college of legazpi,divine word college of legazpi,divine word college of legazpi,dwc-legazpi.edu,Philippines
don mariano marcos memorial state university,don mariano marcos memorial state university,don mariano marcos memorial state university,dmmmsu.edu.ph,Philippines
far eastern university,far eastern university,far eastern university,feu.edu.ph,Philippines
feati university,feati university,feati university,featiu.edu.ph,Philippines
foundation university,foundation university,foundation university,foundationu.com,Philippines
holy angel university,holy angel university,holy angel university,hau.edu.ph,Philippines
information and communications technology academy,information and communications technology academy,information and communications technology academy,iacademy.ph,Philippines
irish university business school cebu,irish university business school cebu,irish university business school cebu,iubs.co.uk,Philippines
isabela state university,isabela state university,isabela state university,isu.edu.ph,Philippines
leyte normal university,leyte normal university,leyte normal university,lnu.evis.net.ph,Philippines
leyte state university,leyte state university,leyte state university,lsu-visca.edu.ph,Philippines
liceo de cagayan university,liceo de cagayan university,liceo de cagayan university,ldcu.edu.ph,Philippines
lyceum of the philippines university,lyceum of the philippines university,lyceum of the philippines university,lpu.edu.ph,Philippines
manila central university,manila central university,manila central university,mcu.edu.ph,Philippines
manuel l. quezon university,manuel l. quezon university,manuel l. quezon university,mlqu.edu.ph,Philippines
manuel s. enverga university foundation,manuel s. enverga university foundation,manuel s. enverga university foundation,mseuf.edu.ph,Philippines
mariano marcos state university,mariano marcos state university,mariano marcos state university,mmsu.edu.ph,Philippines
mindanao state university,mindanao state university,mindanao state university,msumain.edu.ph,Philippines
mindanao state university|iligan institute of technology,mindanao state university|iligan institute of technology,mindanao state university iligan institute of technology,msuiit.edu.ph,Philippines
misamis university,misamis university,misamis university,mu.fapenet.org,Philippines
mountain view college,mountain view college,mountain view college,mvc.edu.ph,Philippines
national university,national university,national university,nu.edu.ph,Philippines
new era university,new era university,new era university,neu.edu.ph,Philippines
northwestern university of the philippines,northwestern university of the philippines,northwestern university of the philippines,nulaoag.com,Philippines
notre dame of marbel university,notre dame of marbel university,notre dame of marbel university,ndmu.edu.ph,Philippines
notre dame university philippines,notre dame university philippines,notre dame university philippines,ndu.fapenet.org,Philippines
our lady of fatima university,our lady of fatima university,our lady of fatima university,fatima.edu.ph,Philippines
palawan state university,palawan state university,palawan state university,psu-online.edu.ph,Philippines
pangasinan state university,pangasinan state university,pangasinan state university,psu.edu.ph,Philippines
philippine christian university,philippine christian university,philippine christian university,pcu.edu.ph,Philippines
philippine military academy,philippine military academy,philippine military academy,pma.ph,Philippines
philippine normal university,philippine normal university,philippine normal university,pnumanila.com.ph,Philippines
philippine women's university,philippine women's university,philippine women's university,pwu.edu,Philippines
university of the philippines,(?<![a-z] )university of the philippines(?! [a-z]),university of the philippines,up.edu.ph,Philippines
polytechnic university of the philippines,polytechnic university of the philippines,polytechnic university of the philippines,pup.edu.ph,Philippines
rizal technological university,rizal technological university,rizal technological university,rtu.edu.ph,Philippines
saint louis college philippines,saint louis college philippines,saint louis college philippines,slc-sflu.edu.ph,Philippines
saint louis university philippines,saint louis university philippines,saint louis university philippines,slu.edu.ph,Philippines
saint mary's university philippines,saint mary's university philippines,saint mary's university philippines,smu.edu.ph,Philippines
saint paul university philippines,saint paul university philippines,saint paul university philippines,spu.edu.ph,Philippines
samar state university,samar state university,samar state university,ssu.edu.ph,Philippines
san beda college,san beda college,san beda college,sanbeda.edu.ph,Philippines
silliman university,silliman university,silliman university,su.edu.ph,Philippines
southwestern university,southwestern university,southwestern university,swu.edu.ph,Philippines
tarlac state university,tarlac state university,tarlac state university,www2.mozcom.com,Philippines
technological university of the philippines,technological university of the philippines,technological university of the philippines,tup.edu.ph,Philippines
university of asia and the pacific,university of asia and the pacific,university of asia and the pacific,uap.edu.ph,Philippines
university of baguio,university of baguio,university of baguio,ubaguio.edu,Philippines
university of batangas,university of batangas,university of batangas,ub.edu.ph,Philippines
university of bohol,university of bohol,university of bohol,universityofbohol.com,Philippines
university of cagayan valley,university of cagayan valley,university of cagayan valley,ucv.edu.ph,Philippines
university of cebu,university of cebu,university of cebu,universityofcebu.edu.ph,Philippines
university of eastern philippines,university of eastern philippines,university of eastern philippines,uep.educ.ph,Philippines
university of lloilo,university of lloilo,university of lloilo,ui.phinma.edu.ph,Philippines
university of manila,university of manila,university of manila,univman.edu.ph,Philippines
university of mindanao,university of mindanao,university of mindanao,umindanao.edu.ph,Philippines
university of negros occidental-recoletos|university of negros occidental recoletos,university of negros occidental-recoletos|university of negros occidental recoletos,university of negros occidental-recoletos,uno-r.edu.ph,Philippines
university of northeastern philippines,university of northeastern philippines,university of northeastern philippines,unep.edu.ph,Philippines
university of northern philippines,university of northern philippines,university of northern philippines,unp.edu.ph,Philippines
university of nueva caceres,university of nueva caceres,university of nueva caceres,unc.edu.ph,Philippines
university of pangasinan,university of pangasinan,university of pangasinan,upang.edu.ph,Philippines
university of perpetual help,university of perpetual help,university of perpetual help,uphr.edu.ph,Philippines
university of perpetual help system dalta,university of perpetual help system dalta,"university of perpetual help, system dalta",perpetualdalta.edu.ph,Philippines
university of regina carmeli,university of regina carmeli,university of regina carmeli,urc.edu.ph,Philippines
university of saint la salle,university of saint la salle,university of saint la salle,usls.edu,Philippines
university of san agustin,university of san agustin,university of san agustin,usa.edu.ph,Philippines
university of san carlos,university of san carlos,university of san carlos,usc.edu.ph,Philippines
university of san jose recoletos,university of san jose recoletos,university of san jose recoletos,usjr.edu.ph,Philippines
university of santo tomas,university of santo tomas,university of santo tomas,ust.edu.ph,Philippines
university of southeastern philippines,university of southeastern philippines,university of southeastern philippines,usep.edu.ph,Philippines
university of southern mindanao,university of southern mindanao,university of southern mindanao,usm.edu.ph,Philippines
university of southern philippines foundation,university of southern philippines foundation,university of southern philippines foundation,usp.ph,Philippines
university of the assumption,university of the assumption,university of the assumption,ua.edu.ph,Philippines
university of the city of manila,university of the city of manila,university of the city of manila,plm.edu.ph,Philippines
university of the cordilleras,university of the cordilleras,university of the cordilleras,uc-bcf.edu.ph,Philippines
university of the east coloocan,university of the east coloocan,university of the east coloocan,ue.edu.ph,Philippines
university of the east manila,university of the east manila,university of the east manila,ue.edu.ph,Philippines
university of the east ramon magsaysay memorial medical center,university of the east ramon magsaysay memorial medical center,university of the east ramon magsaysay memorial medical center,uerm.edu.ph,Philippines
university of the immaculate conception,university of the immaculate conception,university of the immaculate conception,uic.globe.com.ph,Philippines
university of the philippines baguio,university of the philippines baguio,university of the philippines baguio,upb.edu.ph,Philippines
university of the philippines diliman,university of the philippines diliman,university of the philippines diliman,upd.edu.ph,Philippines
university of the philippines los banos,university of the philippines los banos,university of the philippines los banos,uplb.edu.ph,Philippines
university of the philippines manila,university of the philippines manila,university of the philippines manila,upm.edu.ph,Philippines
university of the philippines mindanao,university of the philippines mindanao,university of the philippines mindanao,upmin.edu.ph,Philippines
university of the philippines open university,university of the philippines open university,university of the philippines open university,upou.org,Philippines
university of the philippines visayas,university of the philippines visayas,university of the philippines visayas,upv.edu.ph,Philippines
university of the philippines visayas cebu high school,university of the philippines visayas cebu high school,university of the philippines visayas cebu high school,uphighschoolcebu.edu.ph,Philippines
university of the visayas,university of the visayas,university of the visayas,uv.edu.ph,Philippines
virgen milagrosa university foundation,virgen milagrosa university foundation,virgen milagrosa university foundation,vmuf.edu.ph,Philippines
wesleyan university philippines,wesleyan university philippines,wesleyan university philippines,wesleyan.edu.ph,Philippines
west visayas state university,west visayas state university,west visayas state university,wvsu.edu.ph,Philippines
western mindanao state university,western mindanao state university,western mindanao state university,wmsu.edu.ph,Philippines
xavier university philippines,xavier university philippines,xavier university philippines,xu.edu.ph,Philippines
academy of economics in cracow,academy of economics in cracow,academy of economics in cracow,ae.krakow.pl,Poland
academy of economics in katowice,academy of economics in katowice,academy of economics in katowice,ae.katowice.pl,Poland
academy of economics in poznan,academy of economics in poznan,academy of economics in poznan,ae.poznan.pl,Poland
academy of economics in wroclaw,academy of economics in wroclaw,academy of economics in wroclaw,ae.wroc.pl,Poland
academy of humanities and economics in lodz,academy of humanities and economics in lodz,academy of humanities and economics in lodz,ahe.edu.pl,Poland
"academy of international economic and political relations, gdynia","academy of international economic and political relations, gdynia","academy of international economic and political relations, gdynia",wsms.edu.pl,Poland
adam mickiewicz university of poznan,adam mickiewicz university of poznan,adam mickiewicz university of poznan,amu.edu.pl,Poland
agh university of science and technology,agh university of science and technology,agh university of science and technology,agh.edu.pl,Poland
agricultural university of cracow,agricultural university of cracow,agricultural university of cracow,ar.krakow.pl,Poland
agricultural university of lublin,agricultural university of lublin,agricultural university of lublin,ar.lublin.pl,Poland
agricultural university of poznan,agricultural university of poznan,agricultural university of poznan,au.poznan.pl,Poland
agricultural university of szczecin,agricultural university of szczecin,agricultural university of szczecin,ar.szczecin.pl,Poland
agricultural university of warsaw,agricultural university of warsaw,agricultural university of warsaw,sggw.waw.pl,Poland
agricultural university of wroclaw,agricultural university of wroclaw,agricultural university of wroclaw,ar.wroc.pl,Poland
agricultural-technical academy in olsztyn,agricultural-technical academy in olsztyn,agricultural-technical academy in olsztyn,art.olsztyn.pl,Poland
akademia podlaska,akademia podlaska,akademia podlaska,ap.siedlce.pl,Poland
aleksander gieysztor school of humanities in pultusk,aleksander gieysztor school of humanities in pultusk,aleksander gieysztor school of humanities in pultusk,wsh.edu.pl,Poland
aleksander zelwerowicz state theatre academy,aleksander zelwerowicz state theatre academy,aleksander zelwerowicz state theatre academy,at.edu.pl,Poland
andrzej frycz modrzewski cracow college,andrzej frycz modrzewski cracow college,andrzej frycz modrzewski cracow college,ksw.edu.pl,Poland
cardinal stefan wyszynski university in warsaw,cardinal stefan wyszynski university in warsaw,cardinal stefan wyszynski university in warsaw,uksw.edu.pl,Poland
catholic university of lublin,catholic university of lublin,catholic university of lublin,kul.lublin.pl,Poland
christian theological academy in warszaw,christian theological academy in warszaw,christian theological academy in warszaw,qdnet.pl,Poland
college of computer science in lodz,college of computer science in lodz,college of computer science in lodz,wsinf.edu.pl,Poland
collegium civitas,collegium civitas,collegium civitas,collegium.edu.pl,Poland
european academy of arts in warsaw,european academy of arts in warsaw,european academy of arts in warsaw,eas.edu.pl,Poland
fine arts academy in gdansk,fine arts academy in gdansk,fine arts academy in gdansk,asp.gda.pl,Poland
fine arts academy in katowice,fine arts academy in katowice,fine arts academy in katowice,aspkat.edu.pl,Poland
fine arts academy in poznan,fine arts academy in poznan,fine arts academy in poznan,asp.poznan.pl,Poland
fine arts academy in warsaw,fine arts academy in warsaw,fine arts academy in warsaw,asp.waw.pl,Poland
fine arts academy in wroclaw,fine arts academy in wroclaw,fine arts academy in wroclaw,asp.wroc.pl,Poland
fine arts academy wladyslaw strzeminski in lodz,fine arts academy wladyslaw strzeminski in lodz,fine arts academy wladyslaw strzeminski in lodz,asp.lodz.pl,Poland
french institute of management,french institute of management,french institute of management,ifg.com.pl,Poland
gdansk management college,gdansk management college,gdansk management college,wsz.pl,Poland
gdynia maritime academy,gdynia maritime academy,gdynia maritime academy,wsm.gdynia.pl,Poland
higher school o business in tarnow,higher school o business in tarnow,higher school o business in tarnow,wsb.toi.tarnow.pl,Poland
national louis university,national louis university,national louis university,wsb-nlu.edu.pl,Poland
jagiellonian university cracow,jagiellonian university cracow,jagiellonian university cracow,uj.edu.pl,Poland
józef tyszkiewicz college of business and computer science in bielsko-biala,józef tyszkiewicz college of business and computer science in bielsko-biala,józef tyszkiewicz college of business and computer science in bielsko-biala,tyszkiewicz.edu.pl,Poland
katowice school of economics,katowice school of economics,katowice school of economics,gwsh.pl,Poland
lazarski school of commerce and law,lazarski school of commerce and law,lazarski school of commerce and law,lazarski.pl,Poland
leon kozminski academy of entrepreneurship and mangement in warsaw,leon kozminski academy of entrepreneurship and mangement in warsaw,leon kozminski academy of entrepreneurship and mangement in warsaw,wspiz.edu.pl,Poland
ludwik solski state academy of theatre in cracow,ludwik solski state academy of theatre in cracow,ludwik solski state academy of theatre in cracow,pwst.krakow.pl,Poland
maria curie-sklodowska university lublin,maria curie-sklodowska university lublin,maria curie-sklodowska university lublin,umcs.lublin.pl,Poland
maria grzegorzewska college for special education,maria grzegorzewska college for special education,maria grzegorzewska college for special education,wsps.waw.pl,Poland
maritime university in szczecin,maritime university in szczecin,maritime university in szczecin,wsm.szczecin.pl,Poland
medical academy in bialystok,medical academy in bialystok,medical academy in bialystok,amb.edu.pl,Poland
medical academy in gdansk,medical academy in gdansk,medical academy in gdansk,amg.gda.pl,Poland
medical academy in lodz,medical academy in lodz,medical academy in lodz,am.lodz.pl,Poland
medical academy in lublin,medical academy in lublin,medical academy in lublin,am.lublin.pl,Poland
medical academy in warszawa,medical academy in warszawa,medical academy in warszawa,amwaw.edu.pl,Poland
medical academy in wroclaw,medical academy in wroclaw,medical academy in wroclaw,am.wroc.pl,Poland
medical academy karol marcinkowski in poznan,medical academy karol marcinkowski in poznan,medical academy karol marcinkowski in poznan,usoms.poznan.pl,Poland
medical academy ludwik rydygier in bydgoszcz,medical academy ludwik rydygier in bydgoszcz,medical academy ludwik rydygier in bydgoszcz,amb.bydgoszcz.pl,Poland
"music academy ""felix nowowiejski"" in bydgoszcz","music academy ""felix nowowiejski"" in bydgoszcz","music academy ""felix nowowiejski"" in bydgoszcz",amuz.bydgoszcz.pl,Poland
"music academy ""fryderyk chopin"" in warszaw","music academy ""fryderyk chopin"" in warszaw","music academy ""fryderyk chopin"" in warszaw",chopin.edu.pl,Poland
"music academy ""ignacy jana paderewski"" in poznan","music academy ""ignacy jana paderewski"" in poznan","music academy ""ignacy jana paderewski"" in poznan",amuz.poznan.pl,Poland
"music academy ""karol lipinski"" in wroclaw","music academy ""karol lipinski"" in wroclaw","music academy ""karol lipinski"" in wroclaw",amuz.wroc.pl,Poland
"music academy ""karol szymanowski"" in katowice","music academy ""karol szymanowski"" in katowice","music academy ""karol szymanowski"" in katowice",am.katowice.pl,Poland
"music academy ""stanislaw moniuszko"" in gdansk","music academy ""stanislaw moniuszko"" in gdansk","music academy ""stanislaw moniuszko"" in gdansk",amuz.gda.pl,Poland
music academy in cracow,music academy in cracow,music academy in cracow,amuz.krakow.pl,Poland
music academy in lodz,music academy in lodz,music academy in lodz,amuz.lodz.pl,Poland
nicolaus copernicus university of torun,nicolaus copernicus university of torun,nicolaus copernicus university of torun,uni.torun.pl,Poland
pawel wlodkowic university college in plock,pawel wlodkowic university college in plock,pawel wlodkowic university college in plock,wlodkowic.pl,Poland
pedagogical university of bydgoszcz,pedagogical university of bydgoszcz,pedagogical university of bydgoszcz,wsp.bydgoszcz.pl,Poland
pedagogical university of czestochowa,pedagogical university of czestochowa,pedagogical university of czestochowa,wsp.czest.pl,Poland
pedagogical university of kielce,pedagogical university of kielce,pedagogical university of kielce,pu.kielce.pl,Poland
pedagogical university of krakow,pedagogical university of krakow,pedagogical university of krakow,wsp.krakow.pl,Poland
pedagogical university of rzeszow,pedagogical university of rzeszow,pedagogical university of rzeszow,univ.rzeszow.pl,Poland
pedagogical university of slupsk,pedagogical university of slupsk,pedagogical university of slupsk,wsp.slupsk.pl,Poland
pedagogical university of the polish association for adult education in warsaw,pedagogical university of the polish association for adult education in warsaw,pedagogical university of the polish association for adult education in warsaw,wsptwpwaw.edu.pl,Poland
pedagogical university of zielona gora,pedagogical university of zielona gora,pedagogical university of zielona gora,wsp.zgora.pl,Poland
"physical education academy ""eugeniusz piasecki"" in poznan","physical education academy ""eugeniusz piasecki"" in poznan","physical education academy ""eugeniusz piasecki"" in poznan",awf.poznan.pl,Poland
"physical education academy ""jedrzej sniadecki"" in gdansk","physical education academy ""jedrzej sniadecki"" in gdansk","physical education academy ""jedrzej sniadecki"" in gdansk",awf.gda.pl,Poland
"physical education academy ""jozef pilsudski"" in warsaw","physical education academy ""jozef pilsudski"" in warsaw","physical education academy ""jozef pilsudski"" in warsaw",awf.edu.pl,Poland
physical education academy in katowice,physical education academy in katowice,physical education academy in katowice,awf.katowice.pl,Poland
physical education academy in wroclaw,physical education academy in wroclaw,physical education academy in wroclaw,awf.wroc.pl,Poland
polish open university in warsaw,polish open university in warsaw,polish open university in warsaw (wsz/pou),wsz-pou.edu.pl,Poland
polish-japanese institute of information technology in warsaw|polish japanese institute of information technology in warsaw,polish-japanese institute of information technology in warsaw|polish japanese institute of information technology in warsaw,polish-japanese institute of information technology in warsaw,pjwstk.edu.pl,Poland
polonia university in czêstochowa,polonia university in czêstochowa,polonia university in czêstochowa,ap.edu.pl,Poland
pomeranian academy of medicine in szczecin,pomeranian academy of medicine in szczecin,pomeranian academy of medicine in szczecin,pam.szczecin.pl,Poland
poznan school of banking,poznan school of banking,poznan school of banking,wsb.poznan.pl,Poland
poznan university of life sciences,poznan university of life sciences,poznan university of life sciences,puls.edu.pl,Poland
ryszard lazarski university of commerce and law in warsaw,ryszard lazarski university of commerce and law in warsaw,ryszard lazarski university of commerce and law in warsaw,wship.edu.pl,Poland
school of banking and management in cracow,school of banking and management in cracow,school of banking and management in cracow,wszib.krakow.pl,Poland
silesian academy of medicine in katowice,silesian academy of medicine in katowice,silesian academy of medicine in katowice,slam.katowice.pl,Poland
silesian school of economics and languages,silesian school of economics and languages,silesian school of economics and languages,gallus.pl,Poland
silesian technical university of gliwice,silesian technical university of gliwice,silesian technical university of gliwice,polsl.gliwice.pl,Poland
staszic pila college,staszic pila college,staszic pila college,pwsz.pila.pl,Poland
"state film, television and theatre higher school leon schiller in lodz|national film school in lodz","state film, television and theatre higher school leon schiller in lodz|national film school in lodz",national film school in lodz,filmowka.lodz.pl,Poland
"teacher training college of revalidation, rehabilitation and physical education","teacher training college of revalidation, rehabilitation and physical education","teacher training college of revalidation, rehabilitation and physical education",nkrriwf.pl,Poland
technical university of bialystok,technical university of bialystok,technical university of bialystok,pb.bialystok.pl,Poland
technical university of cracow,technical university of cracow,technical university of cracow,pk.edu.pl,Poland
technical university of czestochowa,technical university of czestochowa,technical university of czestochowa,pcz.czest.pl,Poland
technical university of gdansk,technical university of gdansk,technical university of gdansk,pg.gda.pl,Poland
technical university of kielce,technical university of kielce,technical university of kielce,tu.kielce.pl,Poland
technical university of koszalin,technical university of koszalin,technical university of koszalin,tu.koszalin.pl,Poland
technical university of lodz,technical university of lodz,technical university of lodz,p.lodz.pl,Poland
technical university of lublin,technical university of lublin,technical university of lublin,pol.lublin.pl,Poland
technical university of opole,technical university of opole,technical university of opole,po.opole.pl,Poland
technical university of poznan,technical university of poznan,technical university of poznan,put.poznan.pl,Poland
technical university of radom,technical university of radom,technical university of radom,man.radom.pl,Poland
technical university of rzeszow,technical university of rzeszow,technical university of rzeszow,prz.rzeszow.pl,Poland
technical university of szczecin,technical university of szczecin,technical university of szczecin,tuniv.szczecin.pl,Poland
technical university of wroclaw,technical university of wroclaw,technical university of wroclaw,pwr.wroc.pl,Poland
technical university of zielona gora,technical university of zielona gora,technical university of zielona gora,pz.zgora.pl,Poland
university of bialystok,university of bialystok,university of bialystok,ub.edu.pl,Poland
university of finance and management in bialystok,university of finance and management in bialystok,university of finance and management in bialystok,wsfiz.edu.pl,Poland
university of gdansk,university of gdansk,university of gdansk,univ.gda.pl,Poland
university of information technology and management in rzeszow,university of information technology and management in rzeszow,university of information technology and management in rzeszow,wsiz.rzeszow.pl,Poland
